country,sector,output_hat,price_hat,spending_hat
ARG,01T02,0.972750924359735,1.0035875670067618,1.0013678447653123
ARG,03,1.000410263129128,0.999007048585685,1.0013678447653123
ARG,05T06,0.9874213633477823,1.0002820242084052,1.0013678447653123
ARG,07T08,1.000722583339434,0.9991883308319789,1.0013678447653123
ARG,10T12,0.9990077825395196,1.0074366155399903,1.0013678447653123
ARG,13T15,0.9991615128380945,1.0013825112854393,1.0013678447653123
ARG,16,1.001433376516267,1.0005429114470834,1.0013678447653123
ARG,17T18,1.001977275657477,0.9998801508953084,1.0013678447653123
ARG,19,0.9953711209358558,1.0043324567311194,1.0013678447653123
ARG,20,1.0000963093050024,1.000910337973201,1.0013678447653123
ARG,21,1.0025086963744,0.9996829758296307,1.0013678447653123
ARG,22,0.9979583472292379,1.0008197667056786,1.0013678447653123
ARG,23,0.9941249884303158,1.000453918199107,1.0013678447653123
ARG,24,0.999743962426036,1.0012674486139288,1.0013678447653123
ARG,25,1.0041172943269794,1.0005829240702084,1.0013678447653123
ARG,26,1.0028466325794383,1.0007206780122444,1.0013678447653123
ARG,27,1.0035725795145898,1.0008307013008177,1.0013678447653123
ARG,28,1.002630732626068,1.0002865096354878,1.0013678447653123
ARG,29T30,0.999673405865176,1.0006446437622352,1.0013678447653123
ARG,31T33,1.0022641492757318,0.9997600045395801,1.0013678447653123
ARG,35,0.9913463189165311,1.002521375965272,1.0013678447653123
ARG,36T39,1.0005250334537554,0.9993794284841659,1.0013678447653123
ARG,41T43,1.0009595329644199,0.9999387290342652,1.0013678447653123
ARG,45T47,1.0002070530464668,0.9987204625598007,1.0013678447653123
ARG,49,0.9977918888135967,0.9995045994532957,1.0013678447653123
ARG,50,0.9951120351672903,0.9996427092881904,1.0013678447653123
ARG,51,0.9956469342839441,1.0012449617487487,1.0013678447653123
ARG,52,0.9991043217952297,0.9999369177029085,1.0013678447653123
ARG,53,1.0023421864174802,0.9991735434552239,1.0013678447653123
ARG,55T56,1.0016151429530284,1.0008247037644844,1.0013678447653123
ARG,58T60,1.0024250417669445,0.9991399802170112,1.0013678447653123
ARG,61,1.0018294442287152,0.9989927258038004,1.0013678447653123
ARG,62T63,1.0029650434839081,0.9990106004464036,1.0013678447653123
ARG,64T66,1.0010112217434393,0.998677577921762,1.0013678447653123
ARG,68,1.0016224999621686,0.9983454318504594,1.0013678447653123
ARG,69T75,1.001685017377319,0.9988709480751397,1.0013678447653123
ARG,77T82,1.0006256016681234,0.9986569765807193,1.0013678447653123
ARG,84,1.0013070301898916,0.9988692370460159,1.0013678447653123
ARG,85,1.0014087455154845,0.9986262229549571,1.0013678447653123
ARG,86T88,1.0013601180214466,0.9987259484871244,1.0013678447653123
ARG,90T93,1.0018555672581475,0.9991526773896483,1.0013678447653123
ARG,94T98,1.0013044027548783,0.9989424627249532,1.0013678447653123
AUS,01T02,0.9808584079106979,1.003076687358849,1.0011658953387539
AUS,03,0.9987614026015902,1.0032116326075025,1.0011658953387539
AUS,05T06,0.9897075434930483,1.000515963293489,1.0011658953387539
AUS,07T08,1.0039625746409833,1.0009080095168597,1.0011658953387539
AUS,10T12,0.9992886498313917,1.0058291545271778,1.0011658953387539
AUS,13T15,0.995643953529152,1.0037792732549906,1.0011658953387539
AUS,16,1.001721508940749,1.0031461370480552,1.0011658953387539
AUS,17T18,1.00147323484005,1.0015830357716926,1.0011658953387539
AUS,19,0.9860456718828129,1.0020524652315312,1.0011658953387539
AUS,20,0.99371454724725,1.0023497871135443,1.0011658953387539
AUS,21,1.0004620825475128,1.0016079937468705,1.0011658953387539
AUS,22,1.0050407713815592,1.0022816570100768,1.0011658953387539
AUS,23,1.0002555818948171,1.0017189590409166,1.0011658953387539
AUS,24,1.0129688838366027,1.0026068052008301,1.0011658953387539
AUS,25,1.0029628289206167,1.002241715502537,1.0011658953387539
AUS,26,1.0030669953775362,1.0007798554280016,1.0011658953387539
AUS,27,1.0047083893878488,1.0014190229169642,1.0011658953387539
AUS,28,1.0026623015319973,1.0013256403693542,1.0011658953387539
AUS,29T30,1.0029231612100555,1.001609426533783,1.0011658953387539
AUS,31T33,1.0021464185780469,1.0011168707583966,1.0011658953387539
AUS,35,0.979016932368063,1.0064556765306132,1.0011658953387539
AUS,36T39,0.9994165035949427,1.0004757587647533,1.0011658953387539
AUS,41T43,1.0004850650984485,1.0012032280516638,1.0011658953387539
AUS,45T47,1.000284850241197,1.000643307272808,1.0011658953387539
AUS,49,0.9976669433672083,1.0010170593369176,1.0011658953387539
AUS,50,0.9981377708456889,1.0008821882935568,1.0011658953387539
AUS,51,0.9973519110140928,1.0011781207320922,1.0011658953387539
AUS,52,0.9997526117430948,1.0003001945712156,1.0011658953387539
AUS,53,0.9996472354027148,1.0009156558837897,1.0011658953387539
AUS,55T56,1.0014983439323282,1.0013017423910562,1.0011658953387539
AUS,58T60,1.0019058411812534,1.0003279069944406,1.0011658953387539
AUS,61,1.000969806009957,1.0003633466942687,1.0011658953387539
AUS,62T63,1.0007324921772225,0.9999097363079409,1.0011658953387539
AUS,64T66,0.9997419881614859,0.9996458187131709,1.0011658953387539
AUS,68,1.001000249490904,0.9996627994771332,1.0011658953387539
AUS,69T75,1.0000819211124503,1.0000163121807046,1.0011658953387539
AUS,77T82,1.0000938427757349,1.000181022323969,1.0011658953387539
AUS,84,1.000990250943307,1.0004674289890259,1.0011658953387539
AUS,85,1.001495847886448,0.9999061060024317,1.0011658953387539
AUS,86T88,1.0011686319069555,0.9999799374319832,1.0011658953387539
