country,transfers,transfers eq uniform tax,real income change,gdp per capita,real income change equivalent uniform tax
ISL,-1065.8883885409311,-439.1442369831068,0.7192661029084002,0.11541967564280695,0.098344129447403
NLD,-710.2083180418738,-602.5221703730521,0.6313013078127039,0.09407121051804182,0.6099500558450544
NOR,-766.967742080665,-158.57454536891356,0.3159553028702744,0.1459567516347568,-0.16469187668005647
KAZ,-337.86268815487813,316.2115482774593,2.0789019514447116,0.01890807281971735,-2.560642416691694
RUS,275.9963975390981,247.03038316407006,-2.0753192382218955,0.021565772987348467,-1.818829661599597
ESP,-285.286899514299,-279.01959981613555,0.25406823973121995,0.05831950384158145,0.30646098562956414
DNK,-757.7339136816872,-501.64406626264383,0.48404943395083944,0.1087562264922701,0.26416237256332575
TWN,-385.7403541308703,-395.64938866832824,0.5926876891172883,0.04891818383843319,0.8849409919302831
SGP,-386.15956085635526,-202.12704071486027,0.8713294859792331,0.03804670013236407,0.49352202689256774
SAU,-91.91478628250083,863.2687210986753,-0.18528313894375925,0.05553564085320299,-2.4955163907556255
KOR,-444.3919789104237,-436.45331349720533,0.5420028666328847,0.058645689114908466,0.6899970165072711
CRI,-97.05506416994763,-78.04678540366871,0.15830018809159796,0.023540128571750682,0.0682544170288013
TUR,-79.40977220157735,-5.971065572428098,0.08935179568672069,0.02237106570201473,-0.26871141159475753
THA,-108.38112007369253,-67.2997378022205,0.6778394598580206,0.012522191732254074,0.45425231648263953
CHL,-365.2082797740525,-219.80791375382844,0.958558062594328,0.030002876172082346,0.503863731854004
BRN,168.46396226617583,1442.5379209142327,-0.7335485472160119,0.06214438731114165,-3.4579225021373228
ITA,-297.74781387353755,-400.4275081950409,0.12547155442916846,0.07546968918103818,0.3495386097817299
VNM,-16.53765545979176,18.784239868715396,0.10010148527306306,0.004143955099206377,-0.7622294059896673
ROW,-39.46045353558054,69.55591572011078,0.30647069572316,0.006927339282806092,-1.462090719723641
PER,-81.74549628139255,25.899616178493083,0.44798473643565817,0.011428524694952827,-0.5508632095128307
AUT,-463.22372636855374,-519.4336738355064,0.23684046697103334,0.09358342685832924,0.38507649161736435
CHN,120.69129106482497,5.891957817861711,-1.1163805444850183,0.017486915052731637,-0.3196548051825232
KHM,8.555442337075428,97.79417960773684,-0.5311210056960669,0.0025874342254654675,-4.23289538092817
MMR,-11.713130113125098,88.33742308511043,0.11802389898996068,0.002904731243173526,-3.6997988005370352
ZAF,313.930042422129,178.7888778958671,-2.762134805717398,0.015181978355443675,-1.7024707677397277
IDN,174.1784670190024,87.83461369307467,-2.812639526927574,0.007679634059925329,-1.5761568369686563
IND,71.44631028105599,23.33482858510655,-1.678523566583734,0.005498660163233685,-0.7492153116884115
JPN,-271.05446362298295,-226.25899601368232,0.11631862373755464,0.07067150897539222,0.08161025661848065
MEX,-61.63048201606562,42.23635617398671,0.03143536355523224,0.02084272018591109,-0.5416052994709708
ARG,-117.78130633891566,18.50515333353637,0.23970016029939423,0.022910121098813793,-0.41517742118630796
COL,-34.5045410230827,48.88486948761238,0.0046743364470636095,0.012100479902676228,-0.7732523250489232
