country,transfers,transfers eq uniform tax,real income change,gdp per capita,real income change equivalent uniform tax
IRL,-1082.8881688720267,-758.3460517000718,1.0346592095167528,0.15496313563024788,0.9117515185438352
CHE,-396.1964598830142,-427.8433019026173,0.2346507737125636,0.14165236519146332,0.3767122328903527
NLD,-407.8057725711923,-284.3214838499114,0.43522363365948724,0.09407121051804182,0.3652438718669604
BEL,-379.1463051932169,-229.69122394151182,0.21129829523571786,0.11524966868699768,0.13039078947651994
AUT,-340.6692431548018,-225.4041475299582,0.2845767522879017,0.09358342685832924,0.2213945010037799
DNK,-326.1248775378241,-207.9316070411432,0.20585362791705197,0.1087562264922701,0.15444055541682378
KOR,-140.4659803434754,-225.9673929139052,0.1612346912486906,0.058645689114908466,0.44776656332490283
DEU,-263.2880629588303,-203.4933827832159,0.24198369338006565,0.08643629735371229,0.24825166397619558
TWN,-111.72115378553048,-224.97562570496945,0.17458611151568437,0.04891818383843319,0.6161247969615369
ITA,-256.578300958057,-175.22901388287082,0.25263929247620887,0.07546968918103818,0.20721039309388178
ISL,9.572653464950156,-177.21976269003954,-0.17742341768898218,0.11541967564280695,0.07051316506860861
MLT,-273.73256051819976,-187.04661545089897,0.4976974534588896,0.05929889258848601,0.4320556749252136
SWE,-225.44453892253097,-152.7243543161371,0.11498468243844595,0.09656081397106442,0.10111531331065127
FIN,-204.16194423626663,-142.8882048658773,0.08097696878466287,0.09344717271675759,0.06635870746580785
ISR,-112.89246065396696,-134.841163753045,0.0082191431516776,0.08485462295850643,0.10139432787523717
ESP,-176.25009726232545,-123.19482392395113,0.21754084154690378,0.05831950384158145,0.1889076529127065
GRC,-168.5783540638357,-107.49728967820859,0.3016953882552409,0.041443699118621925,0.19837665690098927
FRA,-126.93713883796025,-81.44877801589449,0.008908042062838462,0.08607181998587213,0.011510326622898859
CHL,-138.00576552966203,-98.17040256619936,0.354229831353825,0.030002876172082346,0.2881162767469858
JPN,-97.4774097711017,-90.33301692491163,0.008724616330346713,0.07067150897539222,0.06674297761068981
SGP,-36.43650374595422,-114.68360642982253,-0.004857888007447908,0.03804670013236407,0.39514214794442726
CZE,-80.46082431625594,-103.39183375993575,0.12189578841470539,0.04224127216857953,0.27184281365848495
PRT,-87.51613215376751,-70.66378904704587,0.07278015134928317,0.04242320418552884,0.09848247846311331
SVK,-71.26027668713131,-69.04198840482508,0.1075306552981381,0.03656054705757618,0.1664462304440617
NZL,-47.22882461972384,-77.2414632624812,-0.08402604913072542,0.07139914911118918,0.03134743190769118
LTU,-72.64524930922148,-60.75168456944522,0.11068465555712503,0.03389553690403833,0.11863698806100498
SVN,-71.81831491707294,-76.25931889141849,0.05095863299935388,0.04865186590146054,0.14798649994700597
GBR,-7.444091431205417,-24.314308632217628,-0.15218578684894624,0.07839590258871107,-0.0713734406426747
BGR,-50.95426555484919,-49.40584024401346,0.21271533248847785,0.018120933837622522,0.2536392216920147
CRI,-13.341684132815844,-30.608997698575745,-0.08746281865928962,0.023540128571750682,0.05373376408461805
THA,-15.83885743471563,-38.9072618823261,0.02311880700325286,0.012522191732254074,0.3696646678410964
USA,-31.114777791443306,-30.31515522791353,-0.1320691721730105,0.12189022949430883,-0.07829278138409279
HUN,-18.34726118099417,-45.0177127910108,-0.05145228016664172,0.0304905652579658,0.12451140645954872
ROU,1.9632817306073864,-9.37218133951146,-0.1664827216333986,0.02530401659124571,-0.06741484065652115
LVA,10.163839462130115,-19.23239716175469,-0.18099839800064244,0.032234692249887335,-0.034032282261897695
TUR,-4.299644733942853,-8.645294121491071,-0.1313965725214139,0.02237106570201473,-0.05522709063066067
HRV,22.020136739042588,-11.321506456604496,-0.23398060688656352,0.031018621899389507,-0.06151851393974006
CHN,8.568339643520359,-9.943552626725387,-0.20668136187181885,0.017486915052731637,-0.021899884930642877
IND,3.001620014335405,7.218784247274893,-0.21411116405661845,0.005498660163233685,-0.25442436291134296
VNM,6.4123889059875285,2.065734629635219,-0.3191481504234872,0.004143955099206377,-0.13359290707075644
NOR,25.929444096956598,-21.046910998469702,-0.18441234738271195,0.1459567516347568,-0.070531279922037
ARG,-10.950340613575895,5.653069192136398,-0.10826666039134292,0.022910121098813793,-0.1405919798710631
POL,44.80878283449042,-24.746008124764707,-0.300839405565434,0.029925477968025315,0.03771708424262776
PHL,8.720145833702949,14.603516590210688,-0.2881300259965247,0.007248781849406384,-0.34883551465983986
