country,transfers,transfers eq uniform tax,real income change,gdp per capita,real income change equivalent uniform tax
ARG,15.703907811349062,8.039630140410381,-0.2816856972381987,0.022910121098813793,-0.18803118888160997
AUS,269.1729487614968,124.54716853292585,-0.5151208960121334,0.10164279453366727,-0.28119902581250633
AUT,-396.98490036757437,-289.1761558502641,0.3241206753879178,0.09358342685832924,0.2580201521641401
BEL,-421.299928303174,-298.9513335708237,0.20960947594408363,0.11524966868699768,0.15241743301013244
BGR,-53.93012553664793,-58.69139286911334,0.2011401624387954,0.018120933837622522,0.2755570801420193
BRA,77.89975646237704,58.11967882502093,-0.7532740010711025,0.016426389244263564,-0.5479978309759326
BRN,590.192017589518,945.6358271710096,-1.4906235838644477,0.06214438731114165,-2.1929044977104684
CAN,194.24922998821444,70.50908213492062,-0.4767626740019515,0.08082864013476515,-0.24339501052964563
CHE,-505.56869930608457,-541.0830852011463,0.3223518395312208,0.14165236519146332,0.4379560415017414
CHL,-137.06349200671036,-124.71375679659677,0.3120403745489275,0.030002876172082346,0.336000182188001
CHN,4.1180746102718055,-8.057964623761297,-0.20869826633954647,0.017486915052731637,-0.06643484024732027
COL,17.034927148547705,30.64213153702359,-0.36880468212241446,0.012100479902676228,-0.435485339469599
CRI,-21.62905198073904,-40.4516110296015,-0.08675927063233058,0.023540128571750682,0.05906420840162685
CYP,39.83307445101142,11.696661279710323,-0.36960573372996075,0.03564447739418383,-0.23457230121040062
CZE,-107.57516319027086,-126.2039730842947,0.18304295419775407,0.04224127216857953,0.3021807078999794
DEU,-322.7911249404959,-258.2969323504508,0.305441692193531,0.08643629735371229,0.285379527682017
DNK,-378.71691179852905,-270.4928573905068,0.2294095233798643,0.1087562264922701,0.17936867363457232
ESP,-206.70240318468308,-157.06153183101432,0.2510441175721967,0.05831950384158145,0.21666471401498022
EST,227.31424817021937,77.18555348584765,-0.8040238145431755,0.040590568301931224,-0.33060792949833884
FIN,-242.73948482646435,-185.67022840247512,0.08207775826829522,0.09344717271675759,0.07280188700939938
FRA,-158.70174917149393,-113.43557301616755,0.011067430327504901,0.08607181998587213,0.012385800480729792
GBR,-63.50386138568686,-42.38856033439603,-0.1164905726902532,0.07839590258871107,-0.0854549892746359
GRC,-178.27365454369365,-132.24224135908733,0.2854895577890648,0.041443699118621925,0.22052337973528235
HRV,15.731750213295639,-16.7748628339816,-0.2534396755059398,0.031018621899389507,-0.07988571802450828
HUN,-32.64399387717166,-56.65611490422026,-0.02034556130410259,0.0304905652579658,0.13471819848269728
IDN,25.171100997120732,46.05823861450969,-0.5632243806646287,0.007679634059925329,-0.8107645256356655
IND,2.800942461940891,10.356250550098851,-0.24812825221748325,0.005498660163233685,-0.34069173773727535
IRL,-1195.379695293299,-946.2664718229443,1.1958349792435152,0.15496313563024788,1.0613167942111312
ISL,-40.97860361066232,-232.91698117747387,-0.18149558172223523,0.11541967564280695,0.07886256783318224
ISR,-128.0565871279504,-174.8216276619239,-0.0076377440032415755,0.08485462295850643,0.11520579901769246
ITA,-303.1660737389764,-224.17500765664587,0.2944253108825512,0.07546968918103818,0.23988610658158827
JPN,-149.72688943366845,-118.78483943137512,0.060294260253690446,0.07067150897539222,0.07291097416597392
KAZ,174.89487696531475,190.75306703710214,-1.452620554651518,0.01890807281971735,-1.4748008394582346
KHM,5.771035096121722,57.768420531968324,-0.44210390995995663,0.0025874342254654675,-2.5250256019153206
KOR,-335.337209152505,-276.1487509338732,0.562587421027394,0.058645689114908466,0.5092095747476044
LAO,15.42872270185411,85.25990061378481,-0.5511934787657435,0.004656678700023588,-1.9976443956374212
LTU,-87.14423974932232,-76.39198657916741,0.12453989851097802,0.03389553690403833,0.13213983236015636
LVA,0.4587799977091914,-25.273341354547153,-0.18867971326302913,0.032234692249887335,-0.05066078627709025
MAR,26.29656881864627,14.602855908812954,-0.5244395462954632,0.008995040252971277,-0.34868277140177595
MEX,52.532820994705894,29.527710268646228,-0.4918500507870349,0.02084272018591109,-0.3053407211913828
MLT,-301.1281549214142,-231.2431885444352,0.5576662752298178,0.05929889258848601,0.49292623758039333
MMR,7.589845099071326,45.18352967387811,-0.48859361938634605,0.002904731243173526,-1.897796786283168
NLD,-472.1039164311308,-356.05263075043985,0.5092114862404573,0.09407121051804182,0.4215187757372618
NOR,147.34053438608592,-45.219608844614115,-0.32288503116227885,0.1459567516347568,-0.08854181280344431
NZL,-30.714511389675174,-100.24439912759904,-0.14934134488353568,0.07139914911118918,0.02738588115263063
PER,-18.94897106250304,13.62275807030488,-0.004570400966896759,0.011428524694952827,-0.2637351916905617
PHL,16.093607059014293,17.595598626308885,-0.4465221793510721,0.007248781849406384,-0.4201141588788482
POL,30.96070175609772,-28.73661134343174,-0.27033679466023086,0.029925477968025315,0.022349067965432567
PRT,-104.55206138448598,-90.65186909455005,0.08122554284502037,0.04242320418552884,0.10903537137116892
ROU,-4.750983863141035,-13.566772492942778,-0.181957634261376,0.02530401659124571,-0.08802863715823284
ROW,24.657772527642603,41.141179749940456,-0.6147228601903643,0.006927339282806092,-0.8247409707170528
RUS,211.6250703868453,144.91127529014753,-1.508482635937558,0.021565772987348467,-1.0063879190204572
SAU,894.2767201399345,552.5108859685774,-2.4599938222620743,0.05553564085320299,-1.5187640440476935
SGP,-42.20449547816021,-136.98822448207054,0.015534438495734548,0.03804670013236407,0.4316055293402732
SVK,-85.75397061310429,-85.71851364663438,0.1238185895382049,0.03656054705757618,0.18435098080031853
SVN,-98.78637636631974,-97.61152030071784,0.09958271910208705,0.04865186590146054,0.16503550127102695
