country,value
ARG,413.7795732714072
AUS,2123.4248027580734
AUT,-2537.0092670454565
BEL,-3009.3984964705505
BGR,-293.89882919927646
BRA,9714.821791746504
BRN,330.4161300961111
CAN,1493.5822975184176
CHE,-4932.812900243174
CHL,-2188.5139875744353
CHN,6697.861409403045
COL,1344.3153074685606
CRI,-204.11723162184643
CYP,-2.3382769248681865
CZE,-1127.2242811386327
DEU,-20853.817574601653
DNK,-1593.1981175663861
ESP,-6825.916877922994
EST,102.51111984196746
FIN,-1005.3398512631153
FRA,-7975.110862566679
GBR,-4717.147922068589
GRC,-1067.026781456458
HRV,-77.23626300962677
HUN,-481.9314226683653
IDN,12429.281539307687
IND,12327.289157481446
IRL,-3991.4156001489905
ISL,-99.6985428528601
ISR,-1405.4681899909442
ITA,-11059.51884140779
JPN,-16512.875903935845
KAZ,3000.112269335491
KHM,947.5379610629863
KOR,-12926.656727486301
LAO,519.9199309265044
LTU,-203.3044130397606
LVA,-50.848240424506784
MAR,288.65275752875425
MEX,2458.4281629689713
MLT,-94.18600611389176
MMR,2332.902864049961
NLD,-5865.714416580201
NOR,-494.8434766579431
NZL,-535.2420505593798
PER,507.7650246057481
PHL,1230.9436052844296
POL,-715.8757168814755
PRT,-912.2200885997794
ROU,-299.86445814625165
ROW,62056.066869970375
RUS,19242.373178007
SAU,12641.347827421436
SGP,-3989.871970960813
SVK,-411.3675893871182
SVN,-192.07505948229866
SWE,-2203.8851532141657
THA,-2712.6094448979725
TUN,164.1032668763049
TUR,-172.52770192927062
TWN,-4876.206668891305
USA,-29268.25351541313
VNM,1190.4118276143886
ZAF,4328.720045765355
