country,value
ARG,484.0858943005423
AUS,2181.9857600894143
AUT,-2836.050642149851
BEL,-3385.183745516987
BGR,-313.60190671538334
BRA,10498.00924258153
BRN,356.3956965808967
CAN,1436.1602493086846
CHE,-5483.658481327933
CHL,-2441.580640732065
CHN,11119.507245633024
COL,1467.393613908391
CRI,-231.33312047915123
CYP,-5.766811386314187
CZE,-1223.013035704162
DEU,-23193.64752422212
DNK,-1791.4460799251235
ESP,-7619.728934567295
EST,114.26329008269585
FIN,-1130.8736704900123
FRA,-9183.30494067359
GBR,-5644.50940135436
GRC,-1163.9619814682994
HRV,-90.03091043838039
HUN,-532.3171743862615
IDN,14029.535999393673
IND,14295.138956801513
IRL,-4404.507758079742
ISL,-112.38446209033836
ISR,-1578.0735536627813
ITA,-12352.054930531544
JPN,-18658.25997900103
KAZ,3282.6937742457494
KHM,1046.7013943677046
KOR,-14061.451302708878
LAO,565.708986423012
LTU,-225.0291399749651
LVA,-57.26303330758561
MAR,314.19741411756877
MEX,2616.96563353791
MLT,-103.34577130829166
MMR,2643.287601387384
NLD,-6480.974886215155
NOR,-602.076815332734
NZL,-598.3064368944847
PER,569.8577966504569
PHL,1332.6090007352007
POL,-741.709772894522
PRT,-1020.2723534982083
ROU,-346.6661576472245
ROW,68612.8193505462
RUS,21261.728210641653
SAU,13695.189014179798
SGP,-4272.704365834034
SVK,-452.53704349539356
SVN,-214.5776646808975
SWE,-2489.5038155050656
THA,-2892.830166578969
TUN,187.9363280897554
TUR,-118.79529211998282
TWN,-5221.414075263435
USA,-35050.96896797118
VNM,1438.1163937053784
ZAF,4775.429898827938
