country,value
ARG,172.92909253100314
AUS,1676.7478577027377
AUT,-1373.7647715769806
BEL,-1573.8545892086763
BGR,-199.55851724143147
BRA,6278.568243251738
BRN,212.9259874800079
CAN,1448.1078528667522
CHE,-2762.4804286059443
CHL,-1207.8334214785261
CHN,-6087.4605071692895
COL,824.9307929845392
CRI,-102.53961162682393
CYP,7.125931416981522
CZE,-705.7906994165247
DEU,-11601.618010474805
DNK,-834.3960502089193
ESP,-3737.6664947468594
EST,56.21578703407742
FIN,-526.6274268779375
FRA,-3601.6531425642693
GBR,-1553.9928573867523
GRC,-652.2283188996814
HRV,-31.623689367399052
HUN,-276.1156658901025
IDN,6327.014536765984
IND,5285.246137082643
IRL,-2322.0842360563697
ISL,-51.33840222194078
ISR,-741.5620634201492
ITA,-6023.257920673022
JPN,-8410.276338492782
KAZ,1773.617744319054
KHM,546.1174217274736
KOR,-8018.331906220897
LAO,325.124207063507
LTU,-115.87203874445997
LVA,-26.177406037010098
MAR,178.51064869291895
MEX,1695.7784748349372
MLT,-56.24570408718652
MMR,1157.713433797809
NLD,-3381.944915386097
NOR,-137.38286819978345
NZL,-285.68638033014264
PER,260.0032096443908
PHL,790.2885777365062
POL,-538.205459566415
PRT,-493.0550797880813
ROU,-128.6791240002922
ROW,35796.657152461274
RUS,11017.564258784063
SAU,7944.477767194715
SGP,-2663.8088584293228
SVK,-242.71049862964384
SVN,-104.53095797265357
SWE,-1123.938012462864
THA,-1839.869410227047
TUN,74.42015273270842
TUR,-289.7665961540067
TWN,-3257.846708240051
USA,-9512.702475116308
VNM,319.93643910458434
ZAF,2424.45585600501
