country,value
ARG,849.7951174605093
AUS,2273.378869014651
AUT,-4251.235200807262
BEL,-5188.846013784724
BGR,-392.3536498648753
BRA,13856.062223734754
BRN,464.30634396771023
CAN,935.8019408176148
CHE,-8074.617096134258
CHL,-3654.5893197031455
CHN,36098.19928445721
COL,2012.5336803333546
CRI,-364.48217730192056
CYP,-25.67141190235075
CZE,-1629.6413763137766
DEU,-34116.34575742126
DNK,-2740.264382634156
ESP,-11380.044057926554
EST,169.1043690540242
FIN,-1733.9782971658863
FRA,-15193.3089361261
GBR,-10421.642199759392
GRC,-1586.997706340076
HRV,-154.20733376648974
HUN,-760.147219879573
IDN,21654.03503463982
IND,24112.526435225824
IRL,-6309.079428905027
ISL,-173.1558408506404
ISR,-2402.506011222154
ITA,-18463.764613970325
JPN,-29022.31106245427
KAZ,4487.670370346026
KHM,1497.8006524162752
KOR,-18968.114639994554
LAO,768.8334426405839
LTU,-325.14717205086185
LVA,-87.68486467727291
MAR,424.3299392476359
MEX,3243.012213606528
MLT,-144.6432211639701
MMR,4132.10663780823
NLD,-9312.578761100158
NOR,-1162.272587473727
NZL,-889.3285350858896
PER,843.7730946873241
PHL,1778.4631536444804
POL,-792.3165992307815
PRT,-1531.9274720557758
ROU,-574.9023558940008
ROW,99093.75467117922
RUS,30423.91885310386
SAU,18088.665407119963
SGP,-5412.257688220969
SVK,-640.6449907362307
SVN,-321.37687482631213
SWE,-3870.1028982873545
THA,-3582.876484167782
TUN,301.23424191591073
TUR,217.3554808363255
TWN,-6613.613679764974
USA,-64812.49949922161
VNM,2674.3433566642716
ZAF,6680.472604261482
