country,value
ARG,306.8297294864202
AUS,1987.5525287401244
AUT,-2054.240678921201
BEL,-2407.893059259418
BGR,-258.757222912236
BRA,8376.513660021461
BRN,285.2919563670864
CAN,1535.4296374859048
CHE,-4038.7703208801663
CHL,-1781.3858578299123
CHN,412.1877945472184
COL,1137.8219771094866
CRI,-161.03558906859737
CYP,2.4424904386280715
CZE,-962.9949675807459
DEU,-17046.66048580435
DNK,-1275.505981295181
ESP,-5544.730664044543
EST,83.41352579833483
FIN,-804.5710621864916
FRA,-6087.378007757241
GBR,-3304.8880802846174
GRC,-903.1509334346857
HRV,-57.369732144277535
HUN,-398.5836632028598
IDN,9866.061641647506
IND,9266.054049678212
IRL,-3312.873067673735
ISL,-79.39911347766316
ISR,-1128.2782157098504
ITA,-8971.45981184831
JPN,-13095.81623579358
KAZ,2517.9801182968413
KHM,784.2484483731662
KOR,-10998.385991289138
LAO,442.8987477949433
LTU,-167.66442442841262
LVA,-40.53510194822331
MAR,245.28349048534153
MEX,2174.995191540128
MLT,-78.95618010892022
MMR,1837.3875867532092
NLD,-4855.124011486814
NOR,-333.1561691046863
NZL,-432.3800145250804
PER,405.55762328075895
PHL,1058.4918139531924
POL,-659.1088092842867
PRT,-737.9838597353771
ROU,-226.2123998016976
ROW,51334.95628754959
RUS,15907.292191916316
SAU,10821.314799331356
SGP,-3490.016988082727
SVK,-343.31545395088335
SVN,-155.76368807616447
SWE,-1748.7935501881755
THA,-2388.216438181123
TUN,126.06495164563461
TUR,-241.61572391720543
TWN,-4266.239868764173
USA,-20454.974028138276
VNM,806.8719832987998
ZAF,3571.2432265779926
