country,value
ARG,109.7900532498063
AUS,1415.6687578434241
AUT,-996.4624446342451
BEL,-1120.6917211631435
BGR,-159.7455902421637
BRA,4953.482342084752
BRN,166.92433211888917
CAN,1291.011758921756
CHE,-2041.076695915118
CHL,-887.3196554771104
CHN,-7998.925173735769
COL,635.3485148271712
CRI,-71.59192409769828
CYP,8.3124255156129
CZE,-545.7171487879691
DEU,-8530.827693525109
DNK,-594.5461373544374
ESP,-2732.966884706238
EST,40.96010317348313
FIN,-375.79518717403386
FRA,-2349.972419550992
GBR,-757.0211402202472
GRC,-499.3189390995758
HRV,-19.042753728098564
HUN,-205.241095488661
IDN,4428.440346355289
IND,3320.4060153041155
IRL,-1745.7937631331338
ISL,-36.12349013781882
ISR,-530.5238726061554
ITA,-4384.595341044534
JPN,-5909.125962883664
KAZ,1322.5988610222932
KHM,408.69418942139373
KOR,-6189.106487143079
LAO,252.59196819091733
LTU,-86.20171970389848
LVA,-18.404795423190073
MAR,137.45987618622172
MEX,1370.800599372888
MLT,-42.77960707904341
MMR,796.9461070574418
NLD,-2530.376262126169
NOR,-50.85432145713406
NZL,-204.14438242958022
PER,180.67338885840695
PHL,621.5382061939681
POL,-443.5335286903196
PRT,-357.66413654155946
ROU,-79.86078153352682
ROW,26836.01944983326
RUS,8193.871576456944
SAU,6155.674266375277
SGP,-2117.9682221226662
SVK,-183.58148753531944
SVN,-76.03893543562526
SWE,-789.2066529747893
THA,-1471.1255918212644
TUN,47.713738902614686
TUR,-281.3099189869084
TWN,-2594.3222827539726
USA,-4532.508538325744
VNM,96.12035083045873
ZAF,1750.3654586755079
