country,value
ARG,358.6479090480408
AUS,2061.8287448275487
AUT,-2293.0325989298603
BEL,-2704.555087726899
BGR,-276.7118662407183
BRA,9051.040895147067
BRN,308.14832682338465
CAN,1523.4229912200917
CHE,-4481.854334161813
CHL,-1982.6000990340651
CHN,3377.4970861595116
COL,1241.2768749892487
CRI,-182.20354711542944
CYP,0.2042191116033942
CZE,-1045.8307813339363
DEU,-18934.737627698683
DNK,-1432.2447045273059
ESP,-6178.420906596613
EST,92.87940024094887
FIN,-903.5608813746335
FRA,-7010.485231136149
GBR,-3989.0093574791294
GRC,-985.4458095991239
HRV,-67.06191877677091
HUN,-440.137359363772
IDN,11130.114784974534
IND,10760.397522294174
IRL,-3650.509705186645
ISL,-89.4082885438751
ISR,-1265.1411153858935
ITA,-10004.533630679716
JPN,-14778.102064066394
KAZ,2760.71501764733
KHM,865.534512057336
KOR,-11968.327058030301
LAO,481.53056831640407
LTU,-185.38866675229386
LVA,-45.627838776121735
MAR,267.0890723715034
MEX,2319.8940237283527
MLT,-86.56435728388965
MMR,2081.4802429100832
NLD,-5357.931781015481
NOR,-411.19212358533446
NZL,-483.412324777405
PER,456.35709135885185
PHL,1145.2367077463875
POL,-689.7176385857979
PRT,-824.1285711554318
ROU,-262.30101082053204
ROW,56661.84802215889
RUS,17569.210538983032
SAU,11741.258936945993
SGP,-3744.602842556463
SVK,-377.25061365842157
SVN,-173.7236570945958
SWE,-1972.8836929462416
THA,-2554.2785439909976
TUN,144.7910168650512
TUR,-210.43235812239578
TWN,-4576.897313599929
USA,-24725.47204174367
VNM,993.6730776993752
ZAF,3951.6417658472205
