country,value
ARG,129.4695257108397
AUS,1510.4661861176992
AUT,-1119.4858890548032
BEL,-1267.3744380889225
BGR,-173.54680981987514
BRA,5402.649081486084
BRN,182.69227889406815
CAN,1353.7475714573393
CHE,-2277.811002011207
CHL,-992.0947415168372
CHN,-7552.631406642046
COL,698.8539801120655
CRI,-81.5334770544222
CYP,8.095674498620232
CZE,-599.7727278769497
DEU,-9538.653629241826
DNK,-672.1753140244605
ESP,-3061.3336795637456
EST,45.937662199071134
FIN,-424.5986641404146
FRA,-2745.4139472315155
GBR,-998.5002333714048
GRC,-550.5778828287816
HRV,-22.970552467516185
HUN,-228.71330857848605
IDN,5039.779117575856
IND,3933.5038439844425
IRL,-1936.1407594537188
ISL,-40.9978524237747
ISR,-599.2158933115222
ITA,-4919.7812243816925
JPN,-6715.934886558357
KAZ,1473.5032106895308
KHM,454.03134206916917
KOR,-6807.231998649585
LAO,276.96486393741606
LTU,-96.05274598114967
LVA,-20.92530724287022
MAR,151.17134112607337
MEX,1483.6003448014694
MLT,-47.27693081621724
MMR,912.7426838334832
NLD,-2812.0091881793737
NOR,-76.12982652705173
NZL,-230.7251228184376
PER,206.27707262045416
PHL,678.5184351145172
POL,-477.5295200189773
PRT,-401.7748393236967
ROU,-95.20962644646572
ROW,29796.5459550637
RUS,9129.81509872076
SAU,6766.469480633123
SGP,-2305.14936664973
SVK,-203.3087105235436
SVN,-85.35077999019848
SWE,-896.9932961390938
THA,-1597.9289681776643
TUN,56.14107238435304
TUR,-287.74237257669085
TWN,-2823.4094771541577
USA,-6043.31615309049
VNM,163.67182066234852
ZAF,1972.6749062382758
