country,value
ARG,1350.6019707651856
AUS,4816.98603479972
AUT,-3624.8779393093596
BEL,-5920.321851381662
BGR,-1253.6288185246494
BRA,19964.311776812116
BRN,456.39739688307327
CAN,982.5703785075657
CHE,-5586.798734538131
CHL,-2927.737586529505
CHN,56073.690989941846
COL,3125.8627900867064
CRI,-97.88801823840339
CYP,29.15909858725033
CZE,-3983.94741813527
DEU,-42308.18775077912
DNK,-2248.6960788548863
ESP,-8457.686393722402
EST,-157.0758937310782
FIN,-1251.291095655767
FRA,-12015.432736859193
GBR,-18469.858451002234
GRC,-1680.4621461679596
HRV,-153.1530547984569
HUN,-1502.5798810631102
IDN,25072.73719960106
IND,27237.991484338945
IRL,-5476.710930372036
ISL,-78.11743754497243
ISR,-1223.6933866759803
ITA,-15332.546519484838
JPN,-21248.60493192605
KAZ,1689.6804487113461
KHM,1688.919488119504
KOR,-15695.9578584153
LAO,881.688009735499
LTU,-545.2875556883284
LVA,-195.45943444096056
MAR,646.02571996151
MEX,4567.738359369584
MLT,-108.56102891934084
MMR,4646.8596351284605
NLD,-8360.915707807691
NOR,336.33835383931967
NZL,-312.4163851026012
PER,1620.143548317639
PHL,3072.7643054723258
POL,-5973.796227898625
PRT,-1045.6354334910022
ROU,-1843.1379044636583
ROW,83092.95428032948
RUS,8353.57010024454
SAU,18607.936613805367
SGP,-4132.542554252201
SVK,-1278.454241779387
SVN,-297.4099979751048
SWE,-2539.243497500837
THA,-3131.240571492255
TUN,294.5720110117533
TUR,1634.7622195968354
TWN,-6311.445926547837
USA,-69624.4425860277
VNM,3113.0326987047088
ZAF,3037.949054426461
