,transfers,aggregate real income cost,emissions reduction,additional real income cost,tax equivalent,fair tax equivalent,equivalent fair tax transfers,additional transfers
EU tax with CBAM,23746.345186357892,1.0004861994521193,-1.441346137204288,-4648.268999259811,3.0,3.0,6805.4681866815945,248.93036797717832
Key players club with CBAM,201407.6225141232,0.9967400227802428,-19.14065072128208,10.591430357683176,60.0,60.0,147905.6801391956,36.17301399417274
